Latitude, Longitide, Stop Name, Stop Status
40.806146,-73.944499,MT MORRIS PK W/W 124 ST,at stop
40.793472,-73.949602,MADISON AV/E 106 ST,at stop
40.768209,-73.970129,5 AV/W 66 ST,at stop
40.77859,-73.96256,5 AV/EAST 81 ST,at stop
40.803302,-73.944767,W 120 ST/5 AV,at stop
40.821321,-73.936251,146 ST/LENOX AV,approaching
40.800859,-73.94631,5 AV/W 116 ST,approaching
40.730664,-73.990601,4 AV/E 10 ST,approaching
40.764073,-73.971052,MADISON AV/E 60  ST,approaching
40.732571,-73.996108,E 8 ST/5 AV,approaching
40.796273,-73.947558,MADISON AV/E 111 ST,approaching
40.769423,-73.969246,5 AV/W 66 ST,< 1 stop away
40.780369,-73.961261,5 AV/EAST 81 ST,< 1 stop away
